ID,true_easting,true_northing,easting_off_grid3_se_corner,northing_off_grid3_se_corner
135,654890.1474,4171084.348,-84908.27858,72846.04505
136,691082.8461,4112339.169,-48715.57988,14100.86634
137,694967.2379,4134357.425,-44831.18813,36119.12217
138,666174.8303,4123134.325,-73623.59567,24896.02244
140,670306.3388,4165876.052,-69492.0872,67637.74892
141,724461.9498,4148194.351,-15336.47617,49956.04847
142,658374.1338,4143666.611,-81424.29218,45428.30786
143,729558.6875,4124261.098,-10239.73851,26022.79507
145,717804.049,4137895.241,-21994.377,39656.93834
146,687241.1947,4149892.896,-52557.23125,51654.59341
147,674851.9102,4166077.925,-64946.51582,67839.62207
149,724194.2374,4113025.468,-15604.1886,14787.16512
150,717520.8004,4104794.202,-22277.62561,6555.899263
151,670383.9472,4141443.986,-69414.47882,43205.68337
152,711455.8484,4136950.193,-28342.57762,38711.88996
153,658163.7581,4142145.922,-81634.66793,43907.61858
154,685748.6005,4154938.07,-54049.82547,56699.76679
155,676910.5111,4147020.263,-62887.91488,48781.95979
156,705686.3831,4117827.524,-34112.04292,19589.22127
157,670923.3526,4142771.493,-68875.07336,44533.1903
158,681938.7149,4147768.537,-57859.71108,49530.2339
159,733900.1334,4105530.131,-5898.292609,7291.828032
160,708636.0698,4128983.986,-31162.3562,30745.68285
161,704268.4576,4123585.087,-35529.96842,25346.78374
162,693226.6568,4151867.131,-46571.76917,53628.82824
165,654246.546,4134158.224,-85551.88002,35919.92139
169,699169.196,4114891.38,-40629.22996,16653.07702
170,708640.938,4128731.72,-31157.488,30493.4172
174,728057.6081,4111687.845,-11740.81793,13449.54214
177,670255.799,4138439.493,-69542.62704,40201.1903
178,695861.5822,4099755.589,-43936.84379,1517.28599
179,730728.8972,4176701.759,-9069.528796,78463.45553
180,717106.0782,4150568.998,-22692.34783,52330.69497
181,723964.5286,4107658.567,-15833.89744,9420.264325
183,737840.1005,4116383.685,-1958.325527,18145.38182
184,683753.6114,4160328.109,-56044.8146,62089.80638
185,676642.3032,4158275.145,-63156.12283,60036.84229
186,654808.1991,4158296.878,-84990.22693,60058.57492
187,683519.7351,4154100.848,-56278.69088,55862.54534
189,703314.8167,4126864.696,-36483.60928,28626.39329
191,707660.2683,4140193.556,-32138.15771,41955.25341
192,721625.5112,4123810.186,-18172.91475,25571.88317
193,693471.2971,4142482.131,-46327.12892,44243.82758
196,654016.8286,4133384.676,-85781.59737,35146.37327
199,675380.8678,4132793.267,-64417.55817,34554.96428
200,718404.5472,4107977.428,-21393.87879,9739.124852
201,715617.2663,4120987.828,-24181.15973,22749.52452
205,708221.4875,4116602.397,-31576.93849,18364.09365
208,675025.2283,4166061.887,-64773.19772,67823.58391
209,712349.5494,4155515.722,-27448.87663,57277.4193
210,699398.9128,4099975.27,-40399.51319,1736.96688
211,736928.2202,4117993.219,-2870.205819,19754.91639
213,668733.2046,4185975.382,-71065.22145,87737.07884
214,680913.9321,4150139.608,-58884.49388,51901.30463
215,664994.8185,4150996.675,-74803.60752,52758.37223
216,663163.9974,4116496.42,-76634.42864,18258.11671
219,674136.2181,4156244.039,-65662.20785,58005.73576
221,720378.6226,4139203.84,-19419.80343,40965.53737
223,668967.1753,4109633.719,-70831.25065,11395.41575
224,667945.7368,4149823.801,-71852.68921,51585.49791
226,724084.7691,4113211.053,-15713.65691,14972.7501
227,724459.81,4117691.758,-15338.61602,19453.4551
228,709485.2611,4144931.982,-30313.16486,46693.67882
231,700918.7803,4141793.035,-38879.64569,43554.73234
232,683971.3014,4161442.931,-55827.12455,63204.62791
233,673878.763,4147733.026,-65919.66304,49494.72295
235,716237.3322,4129505.82,-23561.09376,31267.51739
238,677367.9018,4145983.792,-62430.52422,47745.48912
240,706252.4368,4102999.901,-33545.98916,4761.598312
241,706338.3535,4116202.098,-33460.07248,17963.795
244,676428.199,4168462.515,-63370.22696,70224.21181
245,669657.7409,4145385.635,-70140.68509,47147.33238
246,681573.6096,4161213.133,-58224.81641,62974.82954
247,725724.2192,4125677.751,-14074.20679,27439.44839
248,707716.0086,4128323.654,-32082.41741,30085.35058
251,718526.9993,4104781.386,-21271.4267,6543.083459
252,684454.8549,4160842.975,-55343.57111,62604.6725
256,706761.1469,4140472.959,-33037.27914,42234.65551
257,684786.6099,4153212.744,-55011.81613,54974.44133
258,701442.6539,4101707.846,-38355.77214,3469.542936
259,678052.2402,4148259.727,-61746.18583,50021.42439
260,735866.9258,4107308.35,-3931.500169,9070.046712
261,705733.2035,4155780.54,-34065.22248,57542.23686
263,720758.4406,4124566.067,-19039.98543,26327.76371
264,670046.5945,4165524.85,-69751.83152,67286.54691
266,677250.1048,4151129.888,-62548.32124,52891.58489
268,714505.6896,4158439.667,-25292.73637,60201.36366
271,699549.739,4150568.492,-40248.68695,52330.18914
274,686842.9729,4158590.824,-52955.45313,60352.52061
276,680376.3714,4156384.212,-59422.05465,58145.90946
277,667175.7279,4113243.335,-72622.69811,15005.03195
279,700609.7887,4122172.756,-39188.6373,23934.45344
280,672522.9174,4159092.615,-67275.50862,60854.31198
282,709112.2504,4132090.056,-30686.17556,33851.7531
283,699212.1444,4138836.913,-40586.28159,40598.60969
284,683819.1241,4161933.421,-55979.30186,63695.11815
285,676373.7699,4157591.595,-63424.65607,59353.29197
287,682713.5953,4147154.312,-57084.83073,48916.00933
288,725219.409,4131040.69,-14579.01698,32802.38659
289,698512.8333,4144763.021,-41285.59267,46524.71754
290,728264.7696,4124512.324,-11533.65642,26274.02131
291,692958.4079,4141427.752,-46840.0181,43189.44899
293,680394.0866,4171410.496,-59404.33943,73172.19262
294,674127.8561,4157207.168,-65670.56988,58968.86483
295,656400.7545,4153758.306,-83397.67146,55520.00319
296,697317.8336,4139285.627,-42480.59244,41047.32414
299,698752.3553,4123622.996,-41046.07068,25384.69286
300,723817.9437,4126617.156,-15980.48227,28378.85338
